Tickets,Category,Priority,Complaint_Group
FOLLOW-UP ON CASE SCRUTINY ; CASE REFERENCE NO 202512260291 (RAJIV KAPOOR),Administrative,P2 - Medium,Scrutiny Delay
Urgent Assistance Required: Error in Filing Revision Petition (RP) before NCDRC - West Bengal State Consumer Disputes Redressal Commission in Case No. SC/19/CC/1/2026,Bug,P1 - High,Fix
"""Delay in Case Scrutiny - Diary No: 202512250814"".",Administrative,P2 - Medium,Scrutiny Delay
Request for status update – Case pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Filed the case but its not showing in the dashboard,Bug,P1 - High,Fix
"Complaint against PhysicsWallah for Misrepresentation, Unfair Trade Practices, and Deficiency of Service leading to Financial Loss",Incident,P1 - High,Complaint
Axis Bank not helping to resolve the credit card outstanding payment issue,Incident,P1 - High,Payment Issues
Complaint not being scrutinized,Administrative,P2 - Medium,Scrutiny Delay
Complaint pending for scrutiny since 10 December – Filing Ref 202512100147,Administrative,P2 - Medium,Scrutiny Delay
Request for Status Clarification and Further Steps – Grievance No. 7398144,Administrative,P2 - Medium,Scrutiny Delay
Filed case not reflecting properly in dashboard,Bug,P1 - High,Update Info
DEMANDING COMPENSATION FROM INDIGO AILINES FOR LOST LUGGAGE-JAI6E17923,Incident,P3 - Low,Complaint
Regarding not refund of subscription fee despite cancellation request,Incident,P3 - Low,Complaint
Complaint against mahindra Tractors,Incident,P3 - Low,Complaint
Not able to Delete Additional complaintant,Information Only,P3 - Low,Information
Help Request for availability of Orders & History of Cases in CDRC under CPA,Administrative,P2 - Medium,Upload / Document Issues
Unfair trade practice,Information Only,P3 - Low,Complaint
CASE PENDING FOR SCRUTINY - REQUEST FOR STATUS UPDATE,Administrative,P2 - Medium,Scrutiny Delay
Case pending for scrutiny since 26 Dec 2025,Administrative,P2 - Medium,Scrutiny Delay
Delay in Case Scrutiny - Apple Case (Resubmitted on 04-12-2025),Administrative,P2 - Medium,Scrutiny Delay
how many days it will take for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Flipkart Refund Issue,Incident,P1 - High,Complaint
Request for Resolution of Pending Samsung Service Complaint and Video Conferencing Facility Due to 12th Board Examination,Administrative,P1 - High,Hearing / VC Requests
Deficiency in Service & Unfair Trade Practice – Duplicate Product Attempted Delivery (Order ID DS0001296617919),Incident,P3 - Low,Complaint
Serious Discrepancy: Physical Cause List vs. Online e-Jagriti Cause List for 12-01-2026.,Administrative,P1 - High,Update Info
Need My Name Change,Administrative,P2 - Medium,Update Info
Complaint against CHANCHAL ARTO,Incident,P3 - Low,Complaint
Delay in Scrutiny of e-Jagriti Consumer Complaint,Administrative,P2 - Medium,Scrutiny Delay
Know my case status,Information Only,P3 - Low,Information
Damaged Baggage and Lack of On-Ground Assistance by IndiGo Airlines – Flight 6E 823,Incident,P1 - High,Complaint
Regarding the part payment in HDFC Bank Home Loans,Incident,P1 - High,Payment Issues
Technical Error 'orderTypeId' in App v1.10.1 rendering Daily Orders Inaccessible in Android App,Bug,P1 - High,Fix
Complaint Against Zepto for Supplying Unsafe / Spoiled Food Item and Denial of Refund,Incident,P1 - High,Complaint
case pending for scrutiny for 48 days - case number not generated,Administrative,P2 - Medium,Scrutiny Delay
Delay in Scrutiny – Ref No. 202512170602,Administrative,P2 - Medium,Scrutiny Delay
202601021028 Case under scrutiny since last 14 days,Administrative,P2 - Medium,Scrutiny Delay
Filed Case No: 202512222147_Requesting to take action,Administrative,P2 - Medium,Scrutiny Delay
APPLICATION IS SUBMITTED and PENDING FOR SCRUTINY for long time,Administrative,P2 - Medium,Scrutiny Delay
KFC NOT RETURING MONEY,Incident,P1 - High,Complaint
Reliance not returing money,Incident,P1 - High,Complaint
"APPLICATION IS SUBMITTED, PENDING FOR SCRUTINY 202512261304",Administrative,P2 - Medium,Scrutiny Delay
Not refunded deposit money,Incident,P1 - High,Complaint
Grievance pendiing for scrutini since 26.12.2025 - Ref No. 202511281333,Administrative,P2 - Medium,Scrutiny Delay
We filed complaint to Punjab state,Administrative,P2 - Medium,Scrutiny Delay
Till date show under scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Urgent Status Discrepancy - Case No. 202512312071 (16 Days Pending),Administrative,P1 - High,Update Info
Case is still in pending,Administrative,P2 - Medium,Scrutiny Delay
"Expired item given, repeated issue from blinkit",Incident,P3 - Low,Complaint
Didn't get refund from yet......,Incident,P1 - High,Complaint
not able to find my previously filed interim application,Service Request,P3 - Low,Old Details Missing
Unresolved TV Replacement Despite Approval – 45 Days Pending,Incident,P1 - High,Complaint
Not getting approval,Administrative,P2 - Medium,Scrutiny Delay
Submission for scrutiny – case pending as per commission revert,Administrative,P2 - Medium,Scrutiny Delay
Jurisdiction Problem,Information Only,P3 - Low,Information
Correction of Minor Typographical Error in Respondent Name – Case No. DC/461/CC/83/2026,Administrative,P2 - Medium,Update Info
Delay in Scrutiny of Consumer Complaint – Case No. 202512101562,Administrative,P2 - Medium,Scrutiny Delay
Case status is not updated,Administrative,P2 - Medium,Update Info
Non returning of security money,Incident,P1 - High,Complaint
Case pending for scrutiny – Case number not generated (Diary No: 202512200258),Administrative,P2 - Medium,Scrutiny Delay
Expedite Scrutiny for Case Ref: 202601030441,Administrative,P2 - Medium,Scrutiny Delay
Refund for wrong product,Incident,P1 - High,Complaint
Refund for wrong item delivered,Incident,P1 - High,Complaint
Delay in scrutiny and payment option not enabled – Consumer Complaint pending,Incident,P1 - High,Payment Issues
Regarding filing of Revision Petition of NCDRC,Service Request,P2 - Medium,Old Details Missing
DELETE THIS ACCOUNT,Service Request,P2 - Medium,Delete Blocked
Subject: Complaint regarding 1-year delay in Case Scrutiny (Case: SABHAJEET vs NEW MISHRA ELECTRONICS and onida ).,Administrative,P2 - Medium,Scrutiny Delay
Complaint against Airtel for False Resolution & Service Deficiency to a Disabled Consumer.,Information Only,P3 - Low,Complaint
Request for Early Scrutiny – Consumer Complaint filed on 05.12.2025,Administrative,P2 - Medium,Scrutiny Delay
Old Case Details Not Found,Service Request,P2 - Medium,Old Details Missing
Unfair Denial of Refund and Deficiency in Service by Amazon Seller,Incident,P1 - High,Complaint
Case pending for scrutiny from a month reference no. 202512101358,Administrative,P2 - Medium,Scrutiny Delay
My filed cases pending for scrutiny from almost one year,Administrative,P2 - Medium,Scrutiny Delay
Delay in scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Unable to Edit my profile name,Service Request,P2 - Medium,Update Info
Make My Trip Bus Booking has been cancelled by Bus Operators,Information Only,P3 - Low,Complaint
Case Pending for Scrutiny Since 25 December – Kindly Process,Administrative,P2 - Medium,Scrutiny Delay
Change my name,Service Request,P2 - Medium,Update Info
Application for Adjournment,Administrative,P1 - High,Administrative
SOMEONE HAVE FILED CASES IN MY ID SO I WANT TO REMOVE IT,Service Request,P3 - Low,Identity Misuse
Delay in Scrutiny of Submitted Consumer Complaint (Case Number Not Generated),Administrative,P2 - Medium,Scrutiny Delay
Request to Expedite Scrutiny – Consumer Complaint Pending Beyond 7 Days,Administrative,P2 - Medium,Scrutiny Delay
Refund not received after return- Amazon Order,Incident,P1 - High,Complaint
Case Status Not Updating - Diary No. 202510250863,Information Only,P3 - Low,Update Info
REQUEST FOR ADJOURNMENT,Administrative,P1 - High,Administrative
Consumer Complaint pending for scrutiny since 06 December 2025 – e-Jagriti Application No. 202512060599,Administrative,P2 - Medium,Scrutiny Delay
Case Pending Since 10-11-2025 – Status Update Request,Administrative,P2 - Medium,Scrutiny Delay
Correction of Party Description – Legacy Kia wrongly added as Complainant,Administrative,P1 - High,Update Info
Licence fraud,Information Only,P3 - Low,Complaint
Final order of Court NOT Uploaded in ejagriti site,Bug,P1 - High,Update Info
Ola S1X 5 Months Used Diffect Product 2 Days Mein Hi Issues Shuru Ho Gay,Information Only,P3 - Low,Complaint
"Case against (Shaswati Basu-Shaswati.basu@bt.com,Tarik Habib-Tarik.habib@bt.com,Ballari Chowdhury, ballari.chowdhury@bt.com)",Information Only,P3 - Low,Complaint
"How to delete files, which are not uploaded and/or cancelled?",Bug,P1 - High,Fix
Scrutiny Delay – Consumer Complaint Application No. 202512260005,Administrative,P2 - Medium,Scrutiny Delay
Delay in Scrutiny of Consumer Complaint – Application No. 202512220006,Administrative,P2 - Medium,Scrutiny Delay
Request to close case after refund received,Incident,P1 - High,Complaint
Regarding correction of date of Cause of action written in e- filing details,Information Only,P3 - Low,Information
Correction required in 1 field in the proforma,Information Only,P3 - Low,Information
DELAY IN SCRUITINISING CASES,Information Only,P3 - Low,Information
Unable to delete applications in draft stage.,Service Request,P2 - Medium,Delete Blocked
Regarding the platform fee of flipkart,Information Only,P3 - Low,Information
Pending for scrutiny shows for nearly 45 days,Administrative,P2 - Medium,Scrutiny Delay
Consumer complaint - expired product delivered,Incident,P3 - Low,Complaint
Jio ka net nahi chalta hai aur Bat nhi nahi ho pata hai subah time me,Incident,P3 - Low,Complaint
Need to withdraw my case,Administrative,P2 - Medium,Administrative
My reply and applications are reverted for scrutiny again,Administrative,P2 - Medium,Scrutiny Delay
Ola new bike problem no sarvice,Incident,P3 - Low,Complaint
Request for Urgent Action Regarding Non-Receipt of Flight Refund – Booking Reference O8U93C,Incident,P3 - Low,Complaint
Case No: DC/144/CC/49/2026 Complainant: Ajay Kumar Gupta Vs. Regenta Resort Bharatpur APPLICATION FOR ADJOURNMENT,Administrative,P1 - High,Administrative
Urgent: Request for Action on Consumer Grievance – Non-Resolution of Complaint,Administrative,P2 - Medium,Scrutiny Delay
Regarding delay in consumer complaint filed on 03-10-2025,Administrative,P2 - Medium,Scrutiny Delay
Subject: Application for adjournment – Case No DC/144/CC/49/2026,Administrative,P1 - High,Administrative
Compliant against Urban Fit website,Incident,P3 - Low,Complaint
Status still Pending and No updates,Administrative,P1 - High,Update Info
REGARDING THE ADDING OF CASES,Information Only,P3 - Low,Information
Green line on samsung devices,Incident,P3 - Low,Complaint
Complaint pending for scrutiny for long time,Administrative,P2 - Medium,Scrutiny Delay
Application Pending for Scrutiny for Almost 3 Months – Request for Status Update,Administrative,P2 - Medium,Scrutiny Delay
Tunwal charging bike battery problem,Incident,P3 - Low,Complaint
RECEIVED USED MOBILE FROM AMAZON PURCHASE,Incident,P3 - Low,Complaint
Withdrawal of Consumer Complaint,Administrative,P2 - Medium,Administrative
case application is pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Luggage not received & no update,Incident,P3 - Low,Complaint
Concern Regarding Unsatisfactory Service Experience at Royal Enfield Authorized Service,Incident,P3 - Low,Complaint
My Laptop not Working and Warranty Services not Provided by The company(jeeves by Flipkart ),Incident,P3 - Low,Complaint
Could please update the mobile number?,Service Request,P2 - Medium,Update Info
my old case reference number is not showing on e filing an execution case,Service Request,P2 - Medium,Fix
Request for Early Scrutiny – Reference No. 202511191609,Administrative,P2 - Medium,Scrutiny Delay
i have paid the court fee and money was debited from my account and receipt is not generated,Incident,P1 - High,Payment Issues
Case is pending - Ref No: 202512192001,Administrative,P2 - Medium,Administrative
Case Pending for Scrutiny – Please process urgently,Administrative,P2 - Medium,Scrutiny Delay
Enable uploading of annexures/additional documents - Case pending for scrutiny,Service Request,P1 - High,Fix
Petition Status???,Information Only,P3 - Low,Information
Kindly delete the case i have filed,Service Request,P2 - Medium,Delete Blocked
no case display in my account,Bug,P1 - High,Fix
Strong Note for Consumer Court – Evidence of Deficiency of Service by Flipkart,Incident,P3 - Low,Complaint
Filed Complaint neglected...,Incident,P3 - Low,Complaint
Unupdated Case Status and Case Record,Service Request,P2 - Medium,Update Info
Delay in Case Number Generation after Filing and Rejoinder Submission,Administrative,P2 - Medium,Scrutiny Delay
Awaiting my application to be moved forward,Administrative,P2 - Medium,Scrutiny Delay
"Urgent Grievance: Life-Altering Harm to 2-Year-Old by Himalaya Gentle Baby Shampoo. Demand ?1.5 Crores Compensation & Product Recall Under Consumer Protection Act, 2019",Incident,P3 - Low,Complaint
Complaint Against Theatre Management for Uncomfortable Seat and Failure to Provide Alternative – Deficiency of Service,Incident,P3 - Low,Complaint
Urgent Request for Approval – Case Raised on 30-12-2025 with number 202512301301.,Administrative,P2 - Medium,Scrutiny Delay
Technical Issue,Bug,P1 - High,Fix
Unable to view latest daily order in e-jagriti -case no.DC/485/CC/412/2025,Administrative,P1 - High,Update Info
Request for status update regarding document scrutiny – Appeal filed on 26/12/2025,Administrative,P2 - Medium,Scrutiny Delay
Against Meesho for Refund – Wrong Product & Missing Items,Incident,P3 - Low,Complaint
Payment Receipt download,Incident,P1 - High,Payment Issues
case no. CC/142/2025 not updated,Administrative,P1 - High,Update Info
Case Pending for Scrutiny for More Than 2 Months,Administrative,P2 - Medium,Scrutiny Delay
Case pending,Administrative,P2 - Medium,Scrutiny Delay
Shiprocket my parcel hold and don't give my parcel,Incident,P3 - Low,Complaint
PENDING FOR SCRUTINY FROM 23-12-2025,Administrative,P2 - Medium,Scrutiny Delay
Request to Re-update / Cancel Case due to Missing Details – Reference No. 202601070454,Administrative,P1 - High,Update Info
Scrutiny Clarification – Cause of Action Date – Diary No. 202505180625,Administrative,P2 - Medium,Scrutiny Delay
Profile not submitted,Service Request,P2 - Medium,Update Info
Jio Broadband 9 months refund delay,Incident,P3 - Low,Complaint
Consumer Cheating and threatening,Incident,P3 - Low,Complaint
Complaint Against DTDC: Delayed Express Delivery and Damage shipment,Incident,P3 - Low,Complaint
Delaying of delivery of product .,Incident,P3 - Low,Complaint
202601081258 - Pending since many days,Administrative,P2 - Medium,Scrutiny Delay
Repeated Warranty Failure and Replacement Delay – Lenovo LOQ 15IAX9,Incident,P3 - Low,Complaint
Security Misconfiguration at the web portal of e-Justice and Grievance Redressal through Information Technology and Innovation on e-jagriti.gov.in CERTIn-29021325,Administrative,P2 - Medium,Fix
Incorrect Daily Order,Administrative,P1 - High,Update Info
Case pending for Scrutiny since 08-12-2025,Administrative,P2 - Medium,Scrutiny Delay
Refund of money from Amazon,Incident,P3 - Low,Complaint
so much time for resolution,Information Only,P3 - Low,Information
I am not able to save my case in which i am the opposite party,Information Only,P3 - Low,Information
REFUND NOT PROVIDED DESPITE REPEATED CONSUMER COMPLAINTS.FRAUD HISTORY,Incident,P3 - Low,Complaint
refund not received,Incident,P3 - Low,Complaint
Complaint Against Maybelline New York (L’Oréal Group) for Selling Adulterated Toxic Cosmetics Causing Grievous Bodily Harm & Violation of Consumer Protection Laws – Prayer for Immediate Compensation,Incident,P3 - Low,Complaint
how to pay court fees online,Information Only,P1 - High,Payment Issues
Refund of ?30 forcibly collected by Blinkit delivery partner & compensation for harassment,Incident,P3 - Low,Complaint
Vi telecom all types issues call net speed messag,Incident,P3 - Low,Complaint
FILE CASE,Information Only,P3 - Low,Information
case not show in advocate login deshbord,Service Request,P1 - High,Update Info
Case pending for scrutiny since long time,Administrative,P2 - Medium,Scrutiny Delay
"Urgent: Case Pending for Scrutiny since 2 months (Filed on Nov 24, 2025)",Administrative,P2 - Medium,Scrutiny Delay
Ticket is in pending for scrutiny state for more than a month,Administrative,P2 - Medium,Scrutiny Delay
application for online hearing,Administrative,P1 - High,Hearing / VC Requests
Application for online hearing,Administrative,P1 - High,Hearing / VC Requests
APPLICATION FOR ONLINE HEARING,Administrative,P1 - High,Hearing / VC Requests
Case Reference No. 202601040480 Locked for Editing,Information Only,P2 - Medium,Information
Request to Change Advocate and withdraw of Vakalatnama done in favour of Advocate Ujjawal Agarwal and Advocate Ishan Shukla under application no 202601180267 consumer complaint 344/2025,Administrative,P2 - Medium,Administrative
PHONE SOLD WITH FAKE BRAND BOX,Incident,P3 - Low,Complaint
Consumer complaint still under scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Scrutiny details not provided,Administrative,P2 - Medium,Scrutiny Delay
scrutiny of e-Daakhil consumer complaint pending for 8 months,Administrative,P2 - Medium,Scrutiny Delay
Final order of State Comission required for the case SC/10/FA/456/2025,Administrative,P1 - High,Update Info
NEXT HEARING DATE NOT UPDATE,Administrative,P1 - High,Update Info
Regarding returning the product and receiving a refund due to lack of service from Motorola company.,Incident,P3 - Low,Complaint
National Insurance Company not disposed of the full claim amount,Incident,P3 - Low,Complaint
202512201274 : Application pending from 1 month in scrutiny stage.,Administrative,P2 - Medium,Scrutiny Delay
I have issues related to flipkart commission,Incident,P3 - Low,Complaint
Supplement to Pending Application – Precedents Annexure [Reference/Dairy Number: 202511181965],Administrative,P1 - High,Update Info
Case Ref. 202601161595 Payment deducted twice,Incident,P1 - High,Payment Issues
Name of the Advocate should change,Service Request,P2 - Medium,Update Info
Dashboard and data related,Bug,P1 - High,Fix
Scrutiny Delay - Repeated Food Safety Issues (Ref: 202601050167),Administrative,P2 - Medium,Scrutiny Delay
I received used phone from Amazon.,Incident,P3 - Low,Complaint
E commerce site NEWJAISA TECHNOLOGIES Not providing after sale support,Incident,P3 - Low,Complaint
INSURANCE PREMIUM REFUND,Incident,P1 - High,Complaint
Case still pending for scrutiny (Ref. No. 202512241907),Administrative,P2 - Medium,Scrutiny Delay
Issue regarding uploading document,Bug,P1 - High,Fix
I am not able to fetch my filed files,Service Request,P1 - High,Fix
My file case still shows pending for scrutiny.,Administrative,P2 - Medium,Scrutiny Delay
Delay in Case Scrutiny - Ref No: 202512191646,Administrative,P2 - Medium,Scrutiny Delay
How to add a lawyer for e jagriti complaint,Information Only,P3 - Low,Information
Non Veg Food Delivered,Incident,P3 - Low,Complaint
Play school fees not refunded,Incident,P3 - Low,Complaint
where introlucotary application will show,Information Only,P3 - Low,Information
Request for status update – Consumer complaint filed on 17.10.2025,Information Only,P3 - Low,Update Info
How to download the final order with regard to my previous ticket 20260120000019,Information Only,P1 - High,Information
Case Pending for Approval,Administrative,P2 - Medium,Scrutiny Delay
Filled a caveat petition with reference no. Case No 202601140624 but got the message reverted back,Information Only,P3 - Low,Information
"Complaint Against AJIO for Non-Delivery of Gold Coin, Financial Loss & Mental Harassment",Incident,P3 - Low,Complaint
Case reverted to upload updated documents but unable to upload documents to my case.,Service Request,P1 - High,Fix
"""Network error "" being shown whenever uploading documents",Bug,P1 - High,Fix
NOT ABLE TO TRACK AND SEE THE REPLY AND THE SUBSEQUANT FILING DONE,Information Only,P3 - Low,Information
Complaint for Deficiency in Service and Unfair Trade Practice - Denial of refund,Incident,P3 - Low,Complaint
I have purchased Mobile from Flipkart through SBI card under No cost EMI for Six months.,Incident,P3 - Low,Information
Application Number [202512181850] still pending for scrutiny for the past 1 month,Administrative,P2 - Medium,Scrutiny Delay
Incorrect RC & Insurance Details | Delay and Harassment by Dealer,Incident,P3 - Low,Information
Unable to update user id and address proof,Service Request,P2 - Medium,Information
Excessive Delay in Scrutiny - Case Ref 202511171312 - 62 Days Pending,Administrative,P2 - Medium,Scrutiny Delay
all pending filed documents cannot be seen,Service Request,P2 - Medium,Update Info
I Was mislead By NR Autos Mahindra,Incident,P3 - Low,Complaint
Delay in Scrutiny of Consumer Complaint on e-Daakhil Portal,Administrative,P2 - Medium,Scrutiny Delay
Application filed online cannot be registered,Administrative,P2 - Medium,Scrutiny Delay
"Address, mobile number, n email id of parties added at time of filing is not reflected, showing default address",Service Request,P2 - Medium,Update Info
unable to login,Service Request,P1 - High,Fix
Next hearnig date is not updated,Administrative,P1 - High,Fix
Status Inquiry – e-Jagriti Application No. 202512170288,Information Only,P3 - Low,Fix
apppeal pending at gujarat state consumer court,Information Only,P3 - Low,Fix
Prepaid Product Not Delivered,Incident,P3 - Low,Complaint
Fake Products Sold through Social media marketing https://www.sunglasspoint.in/,Incident,P3 - Low,Complaint
reference number 202601150768 - Address for hard copies submission,Information Only,P3 - Low,Information
DELETION OF REPLY DOCUMENTS SUBMITTED MISTAKENLY,Information Only,P3 - Low,Information
Denial of Return & Refund and Deficiency of Service by Swiggy Instamart,Incident,P3 - Low,Complaint
Delay in Warranty Claim by Flipkart Company,Incident,P3 - Low,Complaint
Overcharging and Incorrect Invoice – Royal Enfield Classic 350 (MH48DS6645),Information Only,P3 - Low,Complaint
Request for Scrutiny – Consumer Complaint (e-Jagriti) (Ref: 202601091259),Administrative,P2 - Medium,Scrutiny Delay
Complaint regarding multiple unauthorized deductions and refund not received through Google Play,Incident,P3 - Low,Complaint
Complaint pending under scrutiny – Request for update,Administrative,P2 - Medium,Scrutiny Delay
202511120390 reference no is still under scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Case Application lying in Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
"Unable to lodge Interlocutory Application as Third Party in connection with EA/5/2019 pending before State Commission, West Bengal",Information Only,P3 - Low,Information
"COMPLAINT UNDER SECTION 35 OF THE CONSUMER PROTECTION ACT, 2019 FOR DEFICIENCY IN SERVICE AND UNFAIR TRADE PRACTICES.",Information Only,P3 - Low,Complaint
Application pending.,Information Only,P3 - Low,Scrutiny Delay
Complaint Pending for Scrutiny Despite Refund Credited – Filing Ref No. 202512080486,Incident,P3 - Low,Complaint
Mobile damaged,Incident,P3 - Low,Complaint
MODIFICATION OF ALREADY UPLOADED PDF WAS NOT AVAILABLE DURING FINAL SUBMIT,Bug,P1 - High,Fix
Zara took the return verified but still not issuing refund,Incident,P3 - Low,Complaint
Urgent intervention required – Severe financial and mental distress due to delay in scrutiny (TVS Motor complaint) – Diary No. 202510220539,Administrative,P2 - Medium,Scrutiny Delay
Unable to add Advocate details,Service Request,P2 - Medium,Fix
Matter not listed,Administrative,P1 - High,Update Info
No response after placing order on 'www.ltonlinestore.com',Incident,P3 - Low,Complaint
Uploading issue in appeal PDF document While uploading in main appeal PDF document is not accepting/allowing and message received as corrupt PDF but the same document is uploading in subsequent filling accepting in this regard we need your support,Bug,P1 - High,Fix
Final order not uploaded – DC/144/CC/797/2025,Bug,P1 - High,Fix
Case is still in pending for scrutiny after 40+ days,Administrative,P2 - Medium,Scrutiny Delay
Delay in scrutiny and payment link generation – Diary No. 202601021360,Administrative,P2 - Medium,Payment Issues
Formal Complaint Regarding Inaction and Systematic Harassment - Case Ref: 202601050843,Incident,P3 - Low,Complaint
CANNOT PROCEED BEYOND THE PAGE OF COMPLAINANT DETAILS,Bug,P1 - High,Fix
Non delivery of the Parcel/Goods,Incident,P3 - Low,Complaint
Request for Correction in Complainant Details,Service Request,P1 - High,Update Info
"APPLICATION IS SUBMITTED, PENDING FOR SCRUTINY FROM 23 05 2025",Administrative,P2 - Medium,Scrutiny Delay
Payment receipt is not downloading,Incident,P1 - High,Payment Issues
File under scrutiny since 16 December 2025,Administrative,P2 - Medium,Scrutiny Delay
Duplicate Reference/Diary Numbers Generated on E-Jagriti Portal,Bug,P1 - High,Fix
Filled case pending in scrutiny for more than 10 days.,Administrative,P2 - Medium,Scrutiny Delay
Change of name.,Service Request,P2 - Medium,Update Info
Reject the case so i can updload the documents,Administrative,P1 - High,Upload / Document Issues
Pending- Acknowledgment No 202510031010,Administrative,P2 - Medium,Scrutiny Delay
not showing next hearing date not showing,Administrative,P1 - High,Update Info
Online consumer fraud by Super Furnishing Company Mumbai,Incident,P3 - Low,Complaint
Case filed is pending for scruty for a very long time,Administrative,P2 - Medium,Scrutiny Delay
Dispute on Debit Interest Charges Due to Failed Transaction and Request for Resolution Timeline,Incident,P3 - Low,Complaint
Court fee for First Appeal,Information Only,P1 - High,Payment Issues
error while filing,Bug,P1 - High,Fix
Request for Status Update on Pending e-Jagriti Case (Case No. 202511121353),Administrative,P1 - High,Update Info
"Filing Reference number-202508310305 , Delay in scrutiny of consumer case against Settl Oslo PG – Fraud refund of ?24,000 security pending",Administrative,P2 - Medium,Scrutiny Delay
My case pending last 4 months,Administrative,P2 - Medium,Scrutiny Delay
My cases are still pending scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Pnb ac fraud,Incident,P3 - Low,Complaint
how to enter respondents names after filing the complete case,Information Only,P3 - Low,Information
Complaint against DADA MOTORS KIA SERVICE CENTER BATHINDA,Information Only,P3 - Low,Complaint
Complaint submitted but still notice not issued to opposite party,Service Request,P2 - Medium,Fix
COMPLAINANT NAME ISSUE,Service Request,P1 - High,Update Info
A20 pro machine not repaired since 30 days,Incident,P3 - Low,Complaint
Subject Pending for scrutiny – request for defect details & rectification guidance (Ref: 202601100012),Administrative,P2 - Medium,Scrutiny Delay
Complaint Regarding Mental Harassment and Unilateral Cancellation of Paid Order – Order No. OD336394689514000100,Incident,P3 - Low,Complaint
Profile Update Error,Bug,P2 - Medium,Update Info
Request to Correct the Name Formatting,Service Request,P2 - Medium,Update Info
Order 5 gram gold coin but received 1 gram,Incident,P3 - Low,Complaint
Repeated Adjournments Causing Unnecessary Hardship to Complainant Case No.: DC/206/CC/20/2025,Administrative,P1 - High,Administrative
Application Pending for Scrutiny – Reference No. 202601021037,Administrative,P2 - Medium,Scrutiny Delay
Unable to delete,Service Request,P2 - Medium,Delete Blocked
Scrutiny pending since 22-12-2025 – request status update & VC/online option,Administrative,P2 - Medium,Scrutiny Delay
Regarding return of my paid fee.,Information Only,P3 - Low,Information
Enquiry About Case,Information Only,P3 - Low,Information
